id,category,prompt,response,source,source_id
codealpaca-12297,coding,Write an SQL query to find the counts of all employees grouped by their job titles.,"SELECT job_title, COUNT(*) FROM employees GROUP BY job_title;",sahil2801/CodeAlpaca-20k,12297
dolly-3191,factual,What is random access memory?,"Random access memory (RAM) is a type of computer memory used to store data that can be accessed quickly. It is also known as dynamic random access memory (DRAM) and is used to store the instructions and data for a computer's operating system and applications. RAM is volatile memory, meaning it will lose its data if the power is turned off. It is also much faster than other types of memory such as hard disk drives and solid state drives.",databricks/databricks-dolly-15k,3191
dolly-12468,factual,What is the main difference between ORC and Parquet?,"Both file formats are columnar with similar support for encoding and compression. Their key difference is in how nested data is represented. In Parquet, the nested data is fully shredded into columns with additional metadata to reconstruct the nesting structure. In ORC, nested structures are not decomposed into columns. Rather the nested data value is stored as a regular column value.",databricks/databricks-dolly-15k,12468
dolly-10544,factual,What is Apache Hive?,Apache Hive is a data warehouse software project built on top of Apache Hadoop for providing data query and analysis. Hive gives an SQL-like interface to query data stored in various databases and file systems that integrate with Hadoop.,databricks/databricks-dolly-15k,10544
dolly-3534,factual,What is Crohn's Disease and what are some of the symptoms?,"Crohn's Disease is a form of Inflammatory Bowel Disease (IBS) that effects parts of the gastrointestinal (GI) tract. Symptoms could include abdominal pain, weight loss and diarrhea among others. Bowel obstruction may occur due to the inflammation.",databricks/databricks-dolly-15k,3534
codealpaca-9154,coding,Recognize the type of error in the given code and provide which line of code is causing the error.,Line 4 is causing a syntax error due to improper indentation.,sahil2801/CodeAlpaca-20k,9154
dolly-6988,factual,What is the difference between a sedan and a coupe?,"Sedans are typically 4 door vehicles with a low profile and coupes are 2 door vehicles with a sportier look. There is a new trend to call sedans with a more athletic silhouette 4 door coupes, but that's debatable.",databricks/databricks-dolly-15k,6988
codealpaca-5943,coding,Create an HTML table containing 3 row and 3 column of text elements.,<table> <tr> <td>Text 1</td> <td>Text 2</td> <td>Text 3</td> </tr> <tr> <td>Text 4</td> <td>Text 5</td> <td>Text 6</td> </tr> <tr> <td>Text 7</td> <td>Text 8</td> <td>Text 9</td> </tr> </table>,sahil2801/CodeAlpaca-20k,5943
dolly-680,factual,What is used to make the dough of boiled Chinese dumplings?,Wheat is used to make the flour of boiled Chinese dumplings.,databricks/databricks-dolly-15k,680
codealpaca-9552,coding,"Code a solution that prints out the string ""Hello, [name]!"" using string interpolation in JavaScript.","const name = ""John Doe""; console.log(`Hello, ${name}!`);",sahil2801/CodeAlpaca-20k,9552
codealpaca-14388,coding,Create a list of 5 integers and print out their product.,""""""" Create a list of 5 integers and print out their product """""" list_of_ints = [1, 2, 3, 4, 5] product = 1 for i in list_of_ints: product *= i print(product)",sahil2801/CodeAlpaca-20k,14388
dolly-4660,factual,Who directed the most episodes of season five of Game of Thrones?,"No one director had more episodes than any other in season five of Game of Thrones. Of the ten episodes, there were five directors who each directed two episodes: Michael Slovis, Mark Mylod, Jeremy Podeswa, Miguel Sapochnik, and David Nutter.",databricks/databricks-dolly-15k,4660
dolly-3618,factual,What is a generic question?,"A generic question is usually a question which is very plain in nature or very common. Most people know the answers to generic questions using common sense, and general knowledge. It usually implies that less though and creativity was used to come up with a generic question. An example of a generic question is ""why is it so hot outside?"" or ""why us the sky blue?""",databricks/databricks-dolly-15k,3618
codealpaca-10656,coding,Check whether all elements in the array are equal using Python.,"# Check whether all elements in the array are equal if all(x == arr[0] for x in arr): print(""All elements are equal"") else: print(""Elements are not equal"")",sahil2801/CodeAlpaca-20k,10656
dolly-12341,factual,What is the name of the National Anthem of the Netherlands?,"The name of the National Anthem of the Netherlands is ""Wilhelmus"".",databricks/databricks-dolly-15k,12341
